Brands,Date,Share
Samsung,2021-01,28.97
Samsung,2021-02,28.52
Samsung,2021-03,28.35
Samsung,2021-04,28.15
Samsung,2021-05,27.84
Samsung,2021-06,27.48
Samsung,2021-07,27.33
Samsung,2021-08,27.92
Samsung,2021-09,27.55
Samsung,2021-10,27.06
Samsung,2021-11,27.18
Samsung,2021-12,26.93
Apple,2021-01,27.47
Apple,2021-02,27.33
Apple,2021-03,27.41
Apple,2021-04,27
Apple,2021-05,26.46
Apple,2021-06,26.35
Apple,2021-07,26.92
Apple,2021-08,26.42
Apple,2021-09,26.75
Apple,2021-10,28.21
Apple,2021-11,28.54
Apple,2021-12,29.24
Xiaomi,2021-01,10.04
Xiaomi,2021-02,10.27
Xiaomi,2021-03,10.31
Xiaomi,2021-04,10.43
Xiaomi,2021-05,10.63
Xiaomi,2021-06,10.8
Xiaomi,2021-07,10.94
Xiaomi,2021-08,11.38
Xiaomi,2021-09,11.51
Xiaomi,2021-10,11.4
Xiaomi,2021-11,11.37
Xiaomi,2021-12,11.52
Huawei,2021-01,9.72
Huawei,2021-02,9.62
Huawei,2021-03,9.27
Huawei,2021-04,9.19
Huawei,2021-05,8.84
Huawei,2021-06,8.66
Huawei,2021-07,8.19
Huawei,2021-08,7.91
Huawei,2021-09,7.88
Huawei,2021-10,7.64
Huawei,2021-11,7.52
Huawei,2021-12,7.19
Oppo,2021-01,5.03
Oppo,2021-02,5.07
Oppo,2021-03,5.29
Oppo,2021-04,5.31
Oppo,2021-05,5.39
Oppo,2021-06,5.67
Oppo,2021-07,5.54
Oppo,2021-08,5.61
Oppo,2021-09,5.65
Oppo,2021-10,5.37
Oppo,2021-11,5.3
Oppo,2021-12,5.31
Vivo,2021-01,3.74
Vivo,2021-02,3.84
Vivo,2021-03,3.95
Vivo,2021-04,3.99
Vivo,2021-05,4.12
Vivo,2021-06,4.32
Vivo,2021-07,4.34
Vivo,2021-08,4.58
Vivo,2021-09,4.57
Vivo,2021-10,4.29
Vivo,2021-11,4.2
Vivo,2021-12,4.13
Realme,2021-01,2.11
Realme,2021-02,2.23
Realme,2021-03,2.32
Realme,2021-04,2.34
Realme,2021-05,2.41
Realme,2021-06,2.62
Realme,2021-07,2.66
Realme,2021-08,2.83
Realme,2021-09,2.85
Realme,2021-10,3.05
Realme,2021-11,2.73
Realme,2021-12,2.75
Motorola,2021-01,2.13
Motorola,2021-02,2.17
Motorola,2021-03,2.16
Motorola,2021-04,2.19
Motorola,2021-05,2.18
Motorola,2021-06,2.23
Motorola,2021-07,2.27
Motorola,2021-08,2.25
Motorola,2021-09,2.26
Motorola,2021-10,2.28
Motorola,2021-11,2.33
Motorola,2021-12,2.25
LG,2021-01,1.69
LG,2021-02,1.67
LG,2021-03,1.63
LG,2021-04,1.6
LG,2021-05,1.58
LG,2021-06,1.55
LG,2021-07,1.55
LG,2021-08,1.52
LG,2021-09,1.45
LG,2021-10,1.41
LG,2021-11,1.37
LG,2021-12,1.27
Unknown,2021-01,1.61
Unknown,2021-02,1.82
Unknown,2021-03,1.94
Unknown,2021-04,2.45
Unknown,2021-05,3.2
Unknown,2021-06,3.12
Unknown,2021-07,3.21
Unknown,2021-08,2.27
Unknown,2021-09,2.26
Unknown,2021-10,2.28
Unknown,2021-11,2.62
Unknown,2021-12,2.72
Others,2021-01,7.49
Others,2021-02,7.46
Others,2021-03,7.37
Others,2021-04,7.35
Others,2021-05,7.35
Others,2021-06,7.2
Others,2021-07,7.05
Others,2021-08,7.31
Others,2021-09,7.27
Others,2021-10,7.01
Others,2021-11,6.84
Others,2021-12,6.69