Product,Year,Revenue,Sales,Subcategory1,Subcategory1_Sales,Subcategory2,Subcategory2_Sales,Subcategory3,Subcategory3_Sales,Subcategory4,Subcategory4_Sales
iPhone,2007,0.1,1.4,,,,,,,,
iPhone,2008,1.8,11.6,,,,,,,,
iPhone,2009,13,20.7,,,,,,,,
iPhone,2010,25.1,39.9,,,,,,,,
iPhone,2011,45.9,72.3,,,,,,,,
iPhone,2012,78.6,125,,,,,,,,
iPhone,2013,91.2,150.2,,,,,,,,
iPhone,2014,101.9,169.2,,,,,,,,
iPhone,2015,155,231.2,,,,,,,,
iPhone,2016,136.8,211.8,,,,,,,,
iPhone,2017,141.2,216.7,,,,,,,,
iPhone,2018,166.2,217.7,,,,,,,,
iPhone,2019,142.3,187.2,,,,,,,,
iPhone,2020,137.7,196.9,,,,,,,,
iPhone,2021,191.9,242,,,,,,,,
iPad,2011,19.1,32.3,,,,,,,,
iPad,2012,30.9,58.1,,,,,,,,
iPad,2013,31.9,97,,,,,,,,
iPad,2014,30.2,67.9,,,,,,,,
iPad,2015,23.2,53.8,,,,,,,,
iPad,2016,20.6,45.5,,,,,,,,
iPad,2017,19.2,43.7,,,,,,,,
iPad,2018,18.6,43.5,,,,,,,,
iPad,2019,21.2,45.2,,,,,,,,
iPad,2020,23.7,71.1,,,,,,,,
iPad,2021,31.8,57.8,,,,,,,,
Mac,2009,13.6,10.3,,,,,,,,
Mac,2010,17.2,13.4,,,,,,,,
Mac,2011,21.6,16.5,,,,,,,,
Mac,2012,23,18,,,,,,,,
Mac,2013,21.3,16.1,,,,,,,,
Mac,2014,23.9,18.8,,,,,,,,
Mac,2015,25.3,20.4,,,,,,,,
Mac,2016,22.7,18.3,,,,,,,,
Mac,2017,25.6,18.9,,,,,,,,
Mac,2018,25.2,18,,,,,,,,
Mac,2019,24.7,17.5,,,,,,,,
Mac,2020,28.4,20.2,,,,,,,,
Mac,2021,35.1,25.7,,,,,,,,
Wearables & Home,2015,9.8,25.6,Apple Watch,8.3,Apple TV,17.3,,,,
Wearables & Home,2016,10.9,32,Apple Watch,11.9,Apple TV,20.1,,,,
Wearables & Home,2017,12.7,50.2,Apple Watch,12.8,Apple TV,22.4,AirPods,15,,
Wearables & Home,2018,17.3,86.3,Apple Watch,22.5,Apple TV,24.6,AirPods,35,HomePod,4.2
Wearables & Home,2019,24.4,122.5,Apple Watch,30.7,Apple TV,25.9,AirPods,60,HomePod,5.9
Wearables & Home,2020,30.6,195.2,Apple Watch,43.1,Apple TV,28.3,AirPods,114,HomePod,9.8
Wearables & Home,2021,38.3,175.8,Apple Watch,46.1,Apple TV,29.9,AirPods,85,HomePod,14.8