Region,Year,Revenue
Americas,2015,93.8
Americas,2016,86.6
Americas,2017,96.6
Americas,2018,112
Americas,2019,116.9
Americas,2020,124.5
Americas,2021,153.3
Europe,2015,50.3
Europe,2016,49.8
Europe,2017,36.8
Europe,2018,62.4
Europe,2019,60.2
Europe,2020,68.6
Europe,2021,89.3
China,2015,58.7
China,2016,48.5
China,2017,51.6
China,2018,51.9
China,2019,43.6
China,2020,40.3
China,2021,68.3
Japan,2015,15.7
Japan,2016,16.9
Japan,2017,15.3
Japan,2018,21.7
Japan,2019,21.5
Japan,2020,21.4
Japan,2021,28.4
Rest of Asia Pacific,2015,15
Rest of Asia Pacific,2016,13.6
Rest of Asia Pacific,2017,44.1
Rest of Asia Pacific,2018,17.4
Rest of Asia Pacific,2019,17.8
Rest of Asia Pacific,2020,19.6
Rest of Asia Pacific,2021,26.3