Models,Year,Start_Price_USD,End_Price_USD,Start_Price_MYR,End_Price_MYR
iPhone,2007,499,599,1721,2066
iPhone 3G,2008,599,699,2540,2960
iPhone 3Gs,2009,599,699,2490,2990
iPhone 4,2010,599,699,2290,2690
iPhone 4s,2011,649,699,2190,2890
iPhone 5,2012,649,849,2199,2799
iPhone 5s,2013,649,849,2399,3149
iPhone 5c,2013,549,649,1999,2399
iPhone 6,2014,649,849,2399,3149
iPhone 6 Plus,2014,749,949,2749,3549
iPhone 6s,2015,649,849,3199,4199
iPhone 6s Plus,2015,749,949,3699,4699
iPhone SE (1st Generation),2016,399,499,1949,2449
iPhone 7,2016,649,849,3199,4199
iPhone 7 Plus,2016,769,969,3799,4799
iPhone 8,2017,699,849,3649,4399
iPhone 8 Plus,2017,799,949,4149,4899
iPhone X,2017,999,1149,5149,5899
iPhone XS,2018,999,1349,4999,6649
iPhone XS Max,2018,1099,1449,6099,7049
iPhone XR,2018,749,899,3599,4299
iPhone 11,2019,699,849,3399,4099
iPhone 11 Pro,2019,999,1349,4899,6499
iPhone 11 Pro Max,2019,1099,1449,5299,6899
iPhone SE (2nd Generation),2020,399,549,1999,2699
iPhone 12 Mini,2020,699,849,3399,4099
iPhone 12,2020,799,1099,3899,4599
iPhone 12 Pro,2020,999,1299,4899,6299
iPhone 12 Pro Max,2020,1099,1399,5299,6699
iPhone 13 mini,2021,699,999,3399,4799
iPhone 13 ,2021,799,1099,3899,5299
iPhone 13 Pro,2021,999,1499,4899,7199
iPhone 13 Pro Max,2021,1099,1599,5299,7599